,ISBN,mean
167636,0681415207,7.0
324107,8485337492,7.0
324110,8485345107,7.0
324112,8485351177,7.0
246356,0967197910,7.0
167612,0681403926,7.0
259843,1568530315,7.0
259853,1568580037,7.0
45941,0312983670,7.0
45950,031298382,7.0
259887,1568581955,7.0
167609,0681402458,7.0
246360,0967201519,7.0
324157,8485701038,7.0
324161,8485704096,7.0
324162,848570410X,7.0
324163,8485704118,7.0
178523,0732274826,7.0
167590,0681218908,7.0
167593,0681270659,7.0
259913,1568650043,7.0
336079,960032882X,7.0
336084,9600333432,7.0
259988,1568652968,7.0
259993,1568653123,7.0
260001,1568653786,7.0
336090,9600411794,7.0
178540,0732277302,7.0
246318,0967036291,7.0
324135,8485595106,7.0
83151,0385495935,7.0
321771,8475303439,7.0
321775,8475303641,7.0
321777,8475303676,7.0
167563,068100570X,7.0
167517,0679894780,7.0
260037,1568655517,7.0
260061,1568656505,7.0
167540,0679958568,7.0
11485,0061043214,7.0
260067,1568657447,7.0
167493,0679892540,7.0
167500,067989358X,7.0
246299,0966986520,7.0
246305,0967005604,7.0
178545,0732277779,7.0
178562,0732309077,7.0
178576,0732710561,7.0
336113,9601406409,7.0
167453,0679890661,7.0
45843,0312981597,7.0
260139,1568820984,7.0
321736,8475251099,7.0
178578,0732715539,7.0
178580,0732902452,7.0
178581,073290501X,7.0
246238,0966770447,7.0
246250,0966808606,7.0
246260,0966822706,7.0
246268,0966852508,7.0
260204,1568846010,7.0
321758,8475302548,7.0
321760,847530270X,7.0
321761,8475302823,7.0
260152,1568840039,7.0
260153,156884008X,7.0
336103,9600509883,7.0
260184,1568843224,7.0
260185,1568843283,7.0
260189,156884381X,7.0
246270,0966872509,7.0
246220,0966709403,7.0
246233,0966753240,7.0
260240,1568849958,7.0
83212,0385497989,7.0
167355,0679884084,7.0
167356,0679884092,7.0
11502,0061043591,7.0
321725,8475229670,7.0
260276,156895963X,7.0
260279,1568959737,7.0
260293,1568997981,7.0
260300,1569014914,7.0
260316,1569245061,7.0
246192,0966620208,7.0
324167,8485704371,7.0
324168,8485704711,7.0
178612,0732909961,7.0
178626,073291101X,7.0
260338,1569246483,7.0
167294,0679878580,7.0
83265,0385500327,7.0
178637,0732911753,7.0
246158,0966505522,7.0
52907,0345283260,7.0
246177,0966569709,7.0
9969,0060937726,7.0
167234,067987304X,7.0
260357,1569247412,7.0
260363,1569247870,7.0
260370,1569248397,7.0
260324,1569245738,7.0
260398,1569310890,7.0
260399,1569310920,7.0
321676,8475100481,7.0
167230,0679872752,7.0
324202,8485859944,7.0
246132,0966431537,7.0
178659,0733311954,7.0
78624,0380798611,7.0
178784,0733528058,7.0
178888,0733544541,7.0
336124,9602130474,7.0
336128,9602210125,7.0
11509,0061043796,7.0
11522,0061044040,7.0
260423,1569313725,7.0
260435,1569314330,7.0
321646,8475065287,7.0
3374,0020381301,7.0
4260,0028618904,7.0
4263,0028619471,7.0
4266,0028619552,7.0
246107,0966347358,7.0
334565,9158217258,7.0
334572,9163826372,7.0
321668,8475094791,7.0
321672,8475096212,7.0
321673,847509645X,7.0
167171,0679867100,7.0
3372,002037500X,7.0
178921,0733602894,7.0
324221,8486094755,7.0
324229,8486233429,7.0
246076,0966288920,7.0
246080,0966294521,7.0
78596,038079781X,7.0
167122,0679860150,7.0
167127,0679861548,7.0
321613,8474861136,7.0
321621,8474915996,7.0
321632,8475023169,7.0
321634,847502324X,7.0
11543,0061044644,7.0
321637,8475023657,7.0
321640,8475024939,7.0
260489,1569319332,7.0
260490,1569319340,7.0
260491,1569319359,7.0
260492,1569319367,7.0
83328,0385502982,7.0
178939,0733608981,7.0
178941,0733609554.,7.0
178951,0733611168,7.0
178952,0733611389,7.0
246069,0966277716,7.0
324214,8486021863,7.0
178965,0733613195,7.0
260503,1569319634,7.0
167015,067983611X,7.0
167021,0679837140,7.0
167032,0679838996,7.0
167039,0679840203,7.0
83338,038550344,7.0
321645,8475061052,7.0
178970,0733613500,7.0
178973,0733613861,7.0
245999,0966036611,7.0
52987,0345286898,7.0
83348,0385503806,7.0
260555,1569471037,7.0
260572,1569471487,7.0
11564,0061050660,7.0
260602,1569472130,7.0
83374,0385506406,7.0
83377,0385506708,7.0
324249,8486411238,7.0
324254,8486433347,7.0
245981,0965972178,7.0
52995,034528724X,7.0
52996,0345287258,7.0
53002,0345287703,7.0
53019,0345288572,7.0
260638,1569472904,7.0
3355,0020315910,7.0
3360,002034080X,7.0
336134,9602350016,7.0
336142,9602565535,7.0
45571,0312973950,7.0
260705,1569553165,7.0
245961,0965916456,7.0
245962,0965916464,7.0
245964,0965916480,7.0
324231,848627916X,7.0
324239,8486344573,7.0
178999,0733800424,7.0
179017,0734301472,7.0
260761,1569712824,7.0
260722,1569602131,7.0
260723,1569602158,7.0
166725,0679783377,7.0
166790,0679803580,7.0
166686,0679781285,7.0
45520,0312971826,7.0
260788,1569714649,7.0
260794,1569715238,7.0
260800,1569715696,7.0
336150,9602743972,7.0
53029,0345288955,7.0
53038,0345289145,7.0
260804,1569716110,7.0
260806,156971634X,7.0
260818,1569717451,7.0
83458,0385601638,7.0
336145,9602741384,7.0
260771,1569713545,7.0
260874,1569802068,7.0
11599,0061051837,7.0
11573,0061050970,7.0
166612,0679775501,7.0
83466,0385602243,7.0
245849,0965752518,7.0
245871,0965780406,7.0
245874,096579041X,7.0
179039,0734501537,7.0
78543,0380795841,7.0
166583,0679773274,7.0
260836,1569751374,7.0
260843,1569752117,7.0
260856,1569754098,7.0
260860,1569800006,7.0
260924,1569871183,7.0
260977,1569874484,7.0
166576,0679772871,7.0
83483,0385605021,7.0
321567,8474611997,7.0
321568,8474612004,7.0
261020,1570061912,7.0
261046,1570083061,7.0
261063,1570089507,7.0
260910,1569870691,7.0
260921,1569871000,7.0
179063,0735201390,7.0
179067,0735201870,7.0
245818,0965700704,7.0
245822,0965704637,7.0
166512,0679767983,7.0
166527,0679768386,7.0
321557,8474543010,7.0
321559,8474543339,7.0
321566,8474564662,7.0
83545,0385659806,7.0
261114,1570360669,7.0
166452,067976500,7.0
166458,0679765263,7.0
166463,0679765603,7.0
261165,1570422990,7.0
336162,9603253634,7.0
245779,0965657833,7.0
324266,8486478383,7.0
324269,8486478693,7.0
9908,006093535,7.0
9917,006093574X,7.0
324277,8486491835,7.0
324279,8486524571,7.0
324281,848652900X,7.0
245748,0965604403,7.0
245751,0965608611,7.0
179093,0735605289,7.0
179101,0735606838,7.0
45360,0312967713,7.0
261251,1570515956,7.0
261172,1570424608,7.0
261173,1570424640,7.0
261204,1570426821,7.0
261130,1570362823,7.0
261160,1570422230,7.0
4289,0028621395,7.0
4290,0028621565,7.0
334533,9146203370,7.0
245737,0965589444,7.0
245738,096559016X,7.0
324262,8486475546,7.0
334537,9150101315,7.0
334541,9150205382,7.0
166439,0679764100,7.0
166442,067976416X,7.0
336159,9603250406,7.0
336161,9603253227,7.0
261230,1570429227,7.0
261241,1570431361,7.0
334559,9158202021,7.0
179122,0735614490,7.0
324312,8486620058,7.0
324313,8486623685,7.0
324314,8486639158,7.0
245687,0965474925,7.0
53138,0345294696,7.0
245701,0965499367,7.0
166386,0679761683,7.0
166391,0679761829,7.0
166401,0679762647,7.0
261267,1570543607,7.0
261277,1570610185,7.0
261282,1570610959,7.0
261290,1570611432,7.0
261293,1570611564,7.0
261300,1570612315,7.0
261324,1570620423,7.0
166366,0679760237,7.0
166376,0679761055,7.0
321538,8474540453,7.0
321539,8474540488,7.0
166332,0679757953,7.0
166343,0679758550,7.0
245682,0965469689,7.0
324293,8486587409,7.0
78488,0380794667,7.0
179135,0735700788,7.0
166316,0679756655,7.0
321546,8474541131,7.0
321548,8474541425,7.0
261353,1570621799,7.0
45283,0312965990,7.0
83604,0385721153,7.0
83605,038572117X,7.0
261398,1570625476,7.0
261418,1570628041,7.0
83614,0385721331,7.0
166293,0679755403,7.0
83646,038572206,7.0
166250,0679753249,7.0
166286,0679755179,7.0
179159,073571102X,7.0
261554,1570670447,7.0
261565,1570671389,7.0
261579,1570711593,7.0
261580,157071164X,7.0
166196,0679750649,7.0
45230,0312964536,7.0
321513,8474440556,7.0
166144,067974813X,7.0
83655,0385722583,7.0
83662,0385729219,7.0
166163,0679749020,7.0
78459,0380793989,7.0
245603,0965323501,7.0
83673,0385729693,7.0
166115,0679745963,7.0
166123,0679746536,7.0
11639,0061052655,7.0
11644,0061052779,7.0
11646,0061052809,7.0
321530,8474448174,7.0
321536,847454033X,7.0
321537,8474540422,7.0
261620,1570717273,7.0
261627,1570717737,7.0
261702,157082018X,7.0
245559,0965253902,7.0
245562,096525660X,7.0
245564,0965260313,7.0
245587,0965301214,7.0
245589,0965306380,7.0
166083,0679744983,7.0
166087,0679745076,7.0
166088,0679745092,7.0
261677,1570752818,7.0
261697,1570762244,7.0
321490,8474239974,7.0
261764,1570826722,7.0
83711,0387173668,7.0
166051,0679743537,7.0
9890,0060934697,7.0
324332,8486717345,7.0
324336,8486763080,7.0
53212,0345297121,7.0
78425,0380793180,7.0
83722,0387948791,7.0
83725,0387978844,7.0
45141,0312962339,7.0
45149,0312962576,7.0
45154,0312962630,7.0
321500,8474322634,7.0
334526,9146182845,7.0
334529,9146200177,7.0
4291,0028621573,7.0
245525,0965201732,7.0
245548,0965238393,7.0
324316,8486639522,7.0
324318,8486639646,7.0
165963,0679740651,7.0
261826,1570981345,7.0
261829,1570981493,7.0
261846,1571020993,7.0
261847,1571021051,7.0
261853,1571100857,7.0
321494,8474262224,7.0
9876,0060934115,7.0
245477,0965117065,7.0
245482,0965141667,7.0
53239,0345298144,7.0
245511,0965181804,7.0
261863,1571200290,7.0
261884,157131010X,7.0
336179,9604101412,7.0
336193,9607002903,7.0
3303,0020259018,7.0
3306,0020259301,7.0
3310,0020259913,7.0
261908,1571312501,7.0
261925,1571430156,7.0
321458,8474108527,7.0
179265,0736421289,7.0
245456,0965088646,7.0
245463,0965096017,7.0
245467,0965103420,7.0
321474,8474171474,7.0
261953,1571458506,7.0
165957,0679740384,7.0
165934,0679739394,7.0
261970,1571517138,7.0
261985,157169028X,7.0
261993,1571740120,7.0
53269,034529887X,7.0
53271,0345298969,7.0
245398,0965064786,7.0
245403,0965066399,7.0
179292,0736608621,7.0
179294,073661091X,7.0
179321,0736642943,7.0
165869,0679736859,7.0
262014,157174164X,7.0
45041,0312959435,7.0
262020,1571742549,7.0
262027,1571742824,7.0
262056,1571891358,7.0
321416,8474100860,7.0
321418,8474101085,7.0
321447,8474105811,7.0
321452,8474106818,7.0
321456,8474108292,7.0
262063,157197184X,7.0
262045,1571780211,7.0
179327,0736647015,7.0
179329,0736647325,7.0
45004,0312958404,7.0
45005,0312958420,7.0
262092,1572153539,7.0
44987,0312957823,7.0
83833,0393011836,7.0
262117,1572240687,7.0
262126,1572241268,7.0
44965,0312957238,7.0
9862,0060933534,7.0
9872,0060933925,7.0
245361,0965055087,7.0
321397,8473865715,7.0
321405,8473868846,7.0
321408,8473931076,7.0
262150,1572243058,7.0
165729,0679733132,7.0
83831,0393010740,7.0
262204,1572318546,7.0
262210,1572319356,7.0
262176,1572313242,7.0
321396,847386560X,7.0
179350,0736688390,7.0
179361,0736900373,7.0
245338,0965043988,7.0
245280,0965018140,7.0
336213,9608132576,7.0
262196,1572316403,7.0
262199,1572317191,7.0
262201,157231818X,7.0
262227,1572433264,7.0
262260,1572492392,7.0
262261,1572492546,7.0
262262,1572492570,7.0
262266,1572592079,7.0
262281,1572700645,7.0
336206,9607919343,7.0
336208,960791953X,7.0
245292,0965024060,7.0
53346,0345302613,7.0
179419,0736904336,7.0
336203,9607478401,7.0
262300,1572702095,7.0
262312,1572702982,7.0
44891,0312955073,7.0
165640,0679729836,7.0
262379,1572971096,7.0
44877,0312954581,7.0
83870,0393020150,7.0
83872,039302024X,7.0
78367,038079165X,7.0
245244,0965004302,7.0
179435,0736906185,7.0
179446,0736908196,7.0
179456,0736909125,7.0
83895,0393022897,7.0
165616,0679728864,7.0
262429,1572972734,7.0
262432,1572972920,7.0
165627,0679729445,7.0
83877,039302038X,7.0
83880,0393021262,7.0
245222,0964946408,7.0
245235,0964993988,7.0
179467,0736910131,7.0
78332,0380790920,7.0
179475,0736911758,7.0
44842,0312953496,7.0
262507,1573220655,7.0
83909,0393024601,7.0
165562,0679727159,7.0
262530,1573221082,7.0
44826,0312953062,7.0
321369,8473864026,7.0
165527,06797253180,7.0
179478,0736913238,7.0
245193,0964852683,7.0
324385,8487403220,7.0
321384,8473865057,7.0
321385,8473865081,7.0
262592,15732220003,7.0
165440,0679723005,7.0
83955,0393028909,7.0
44809,0312952368,7.0
262641,1573223522,7.0
262653,1573225037,7.0
165464,0679723536,7.0
53402,0345304330,7.0
245163,0964742098,7.0
245169,0964761203,7.0
179495,0737000473,7.0
334506,9146156070,7.0
262671,1573225460,7.0
262755,1573227927,7.0
262757,157322796X,7.0
336242,9622174183,7.0
165430,0679722793,7.0
262765,1573228249,7.0
262827,1573229938,7.0
262841,1573240311,7.0
4307,0028623029,7.0
324405,848756710X,7.0
324409,8487674909,7.0
324421,8487746187,7.0
262852,1573240583,7.0
262857,157324077X,7.0
262860,1573240923,7.0
262887,1573241628,7.0
44730,0312942109,7.0
165399,0679722203,7.0
262931,1573248614,7.0
165294,0679640258,7.0
84023,0393035565,7.0
165305,0679640576,7.0
84007,0393034496,7.0
84010,0393034801,7.0
165375,0679721724,7.0
179527,0737300329,7.0
78298,0380790238,7.0
53434,0345305221,7.0
9828,0060932341,7.0
84064,0393038041,7.0
321356,847386199X,7.0
321358,8473862546,7.0
321367,8473863615,7.0
165276,0679602976,7.0
262916,1573245682,7.0
245043,0964397056,7.0
245046,0964408406,7.0
245052,0964420805,7.0
245058,0964441101,7.0
78306,0380790386,7.0
179557,0738200654,7.0
84082,0393039307,7.0
262961,1573440183,7.0
262963,1573440221,7.0
263016,157345320X,7.0
263017,1573453218,7.0
263024,1573455687,7.0
44682,0312930887,7.0
84098,0393040070,7.0
324452,848834130X,7.0
245020,0964347741,7.0
53459,0345306317,7.0
179618,0738205354,7.0
263047,1573540455,7.0
263067,1573751553,7.0
263069,1573800589,7.0
263010,1573452149,7.0
3252,0020185502,7.0
321321,8473200038,7.0
3239,0020150806,7.0
165212,0679600655,7.0
179620,0738205435,7.0
245002,0964299186,7.0
324424,8487812139,7.0
321325,8473290623,7.0
321329,8473395816,7.0
263112,1573926922,7.0
263131,1574090100,7.0
263140,1574090852,7.0
336254,9625934456,7.0
321263,8472833119,7.0
321265,8472833712,7.0
165122,0679459553,7.0
165131,0679460357,7.0
165186,0679509615,7.0
321272,8472835863,7.0
44607,0312928203,7.0
84173,0393046362,7.0
165083,0679456813,7.0
244956,0964140918,7.0
244958,0964147734,7.0
244987,0964254875,7.0
244939,0964106515,7.0
165017,0679453091,7.0
165050,067945540X,7.0
84171,039304632x,7.0
263206,1574860089,7.0
321266,8472834506,7.0
11769,0061056197,7.0
324456,8488413432,7.0
324457,8488413645,7.0
9800,0060931841,7.0
324483,848856497X,7.0
179670,0738700614,7.0
179675,0738700819,7.0
179681,0738700967,7.0
164965,067945120X,7.0
164966,0679451226,7.0
263267,1575022745,7.0
263275,1575050714,7.0
263282,1575090627,7.0
84194,0393047229,7.0
263323,1575213362,7.0
321227,8472454665,7.0
321235,8472541207,7.0
336276,9631302199,7.0
244898,0963976346,7.0
244907,0964004216,7.0
244909,0964007029,7.0
244928,0964090341,7.0
164872,0679447768,7.0
321241,8472730654,7.0
321245,8472793303,7.0
321247,8472794369,7.0
263326,1575213729,7.0
164900,0679448772,7.0
164934,067945022X,7.0
44521,0312924879,7.0
164824,0679445625,7.0
84222,0393048608,7.0
53540,0345308972,7.0
244870,0963910310,7.0
179731,0738806935,7.0
263398,157566030X,7.0
263400,1575660369,7.0
44501,031292391,7.0
44513,0312924542,7.0
263417,1575660792,7.0
164805,0679444734,7.0
44538,0312925557,7.0
263503,1575662914,7.0
84248,0393049736,7.0
164776,0679442677,7.0
334442,9129591384,7.0
244820,0963754734,7.0
244824,0963773399,7.0
321203,8472239438,7.0
321207,8472239586,7.0
164714,0679439889,7.0
164734,067944122,7.0
263465,1575661934,7.0
164668,0679437525,7.0
164685,067943867X,7.0
321208,8472239594,7.0
321209,8472239608,7.0
321215,8472315495,7.0
321224,8472454088,7.0
244829,0963789937,7.0
324505,8488791569,7.0
244800,0963667300,7.0
263701,1575667568,7.0
44439,0312917813,7.0
164652,0679436685,7.0
164659,0679437053,7.0
164660,0679437061,7.0
164664,0679437339,7.0
84306,0393057453,7.0
44418,0312916221,7.0
263855,1575871777,7.0
3232,0020130902,7.0
336292,9641475163,7.0
336301,9643280780,7.0
4348,0028629051,7.0
334455,9132322658,7.0
334459,913241773X,7.0
244781,0963630407,7.0
244798,0963660950,7.0
324546,8489239126,7.0
164559,0679432167,7.0
336282,9631367010,7.0
336283,9632087375,7.0
263876,1576104192,7.0
263894,1576300269,7.0
263905,1576463168,7.0
263809,1575840146,7.0
324548,8489239339,7.0
324549,8489240175,7.0
244755,0963579630,7.0
244757,0963584138,7.0
179773,073884697X,7.0
334399,9117890721,7.0
334406,9118313426,7.0
263976,1576600203,7.0
263980,1576600734,7.0
321181,8472238628,7.0
321183,847223875X,7.0
164531,0679430636,7.0
164536,0679430830,7.0
4355,0028629396,7.0
244711,0963440373,7.0
244727,0963491024,7.0
53625,0345312104,7.0
244751,0963572032,7.0
4365,0028630343,7.0
4369,0028630424,7.0
334419,9119456522,7.0
334424,9120043767,7.0
321189,8472238873,7.0
321192,8472238970,7.0
321194,8472239039,7.0
321195,8472239063,7.0
263983,1576600874,7.0
84339,039307532X,7.0
164509,0679429824,7.0
263916,1576570983,7.0
44343,0312909977,7.0
264019,1576731839,7.0
244699,0963418505,7.0
164410,0679424709,7.0
264073,1576734560,7.0
44318,0312907540,7.0
164441,0679426094,7.0
84397,039309251,7.0
164373,0679422811,7.0
44296,0312905904,7.0
44301,0312906242,7.0
244645,0963242202,7.0
179828,0739307479,7.0
179833,0739309676,7.0
179834,073930982X,7.0
179870,0739402145,7.0
84394,0393092250,7.0
84395,0393092305,7.0
264189,1576738922,7.0
264206,1576739597,7.0
44263,0312902506,7.0
44268,0312903057,7.0
264218,1576739988,7.0
179873,0739402471,7.0
244625,0963198203,7.0
53679,0345314190,7.0
336305,9644450558,7.0
336312,9645643775,7.0
336313,9645643783,7.0
264248,1576830047,7.0
264259,1576831108,7.0
264265,1576831302,7.0
179923,0739405543,7.0
179933,0739406280,7.0
324564,8489618712,7.0
53689,0345314301,7.0
164338,0679420681,7.0
44237,0312894708,7.0
44239,031289662X,7.0
44216,0312890419,7.0
321159,847223682X,7.0
321167,8472237486,7.0
164345,0679420908,7.0
164363,0679422080,7.0
179992,0739410687,7.0
244577,0963075616,7.0
321169,8472237702,7.0
321170,8472237745,7.0
11828,0061057428,7.0
321175,8472238008,7.0
321178,8472238407,7.0
321179,8472238415,7.0
44225,0312890613,7.0
164285,0679418695,7.0
164267,0679417400,7.0
164272,0679417680,7.0
164275,0679417915,7.0
244551,0962992305,7.0
244562,096302227X,7.0
244563,0963022288,7.0
244569,0963054902,7.0
180019,0739413031,7.0
180022,0739413279,7.0
164194,0679413464,7.0
84457,0393301257,7.0
264333,1577193571,7.0
264355,1577310314,7.0
321127,8472232557,7.0
321142,8472234150,7.0
321147,8472234479,7.0
321156,8472236099,7.0
264368,1577310926,7.0
44154,0312878265,7.0
44161,031287846X,7.0
244490,0962855030,7.0
53742,0345316029,7.0
244525,0962944718,7.0
244527,0962945234,7.0
244458,0962770531,7.0
244460,0962779059,7.0
321106,847223116X,7.0
164145,0679411089,7.0
84468,0393302288,7.0
84472,0393302385,7.0
84497,0393304728,7.0
321107,8472231178,7.0
321114,8472231879,7.0
321122,8472232379,7.0
321126,8472232492,7.0
53749,0345316339,7.0
180063,0739415816,7.0
78073,0380783576,7.0
3179,00140459,7.0
44100,0312876254,7.0
264485,1577482948,7.0
264487,1577483219,7.0
324581,8489669368,7.0
324584,8489669457,7.0
324587,84896695,7.0
244415,0962679577,7.0
244432,0962726303,7.0
78052,0380782758,7.0
180139,0739422049,7.0
264559,1577487273,7.0
264500,1577484274,7.0
3198,0020009607,7.0
3199,0020016700,7.0
164054,067940581X,7.0
3193,001864446,7.0
3194,00192813323,7.0
3196,00196048,7.0
44068,0312874995,7.0
180163,0739423940,7.0
4381,0028631692,7.0
4383,0028631870,7.0
244394,096260691X,7.0
244407,0962654124,7.0
264649,1577593715,7.0
264617,1577570014,7.0
321083,8472142418,7.0
84543,0393307905,7.0
164003,0679402861,7.0
164010,0679403477,7.0
164021,0679404120,7.0
321093,8472227812,7.0
321094,8472227987,7.0
244375,0962527742,7.0
244383,0962550000,7.0
334385,9113007114,7.0
163963,0679400311,7.0
164000,0679402756,7.0
163919,0679311297,7.0
43995,0312873344,7.0
43997,0312873360,7.0
264723,1577941691,7.0
321047,8471766639,7.0
321049,8471767465,7.0
321052,8471767821,7.0
84554,0393308251,7.0
244334,0962401781,7.0
244335,0962404918,7.0
53813,0345318617,7.0
53818,0345318846,7.0
180199,0739426915,7.0
180246,0739429531,7.0
180254,0739430246,7.0
321054,8471768976,7.0
321080,8472111172,7.0
163890,0679310541,7.0
163896,0679310681,7.0
264830,1578400422,7.0
264784,1578151848,7.0
264788,1578151937,7.0
264796,1578152747,7.0
264802,1578155495,7.0
244298,0962307203,7.0
244316,0962349984,7.0
180281,0739432958,7.0
180316,0739435973,7.0
84581,0393309290,7.0
163878,067931010X,7.0
163886,0679310428,7.0
264814,1578260914,7.0
264816,1578261066,7.0
264824,1578400309,7.0
163811,0679032592,7.0
163817,0679033513,7.0
163836,0679307710,7.0
324615,8489677565,7.0
180334,0739437364,7.0
180341,0739437860,7.0
180348,0739438530,7.0
321037,8471753405,7.0
43919,0312870310,7.0
43920,0312870337,7.0
264907,157856283X,7.0
264909,1578562856,7.0
264910,1578562864,7.0
264843,1578511402,7.0
163804,0679031650,7.0
163809,0679032568,7.0
264940,1578564654,7.0
321028,8471730286,7.0
321029,8471730294,7.0
77999,0380781174,7.0
321039,8471753596,7.0
321042,8471754805,7.0
321045,8471766523,7.0
321046,8471766612,7.0
264957,1578565456,7.0
163796,0679030158,7.0
163800,0679030883,7.0
43884,0312869282,7.0
264976,1578567475,7.0
43869,0312868898,7.0
43870,0312868901,7.0
336355,964_7049_05_6,7.0
163790,0679029583,7.0
163793,0679030034,7.0
77976,0380780496,7.0
163770,0679023305,7.0
163774,0679024905,7.0
163783,0679026762,7.0
336340,9647230184,7.0
43846,0312868316,7.0
264998,1578590671,7.0
265008,1578591139,7.0
320984,8471532352,7.0
11935,0061060933,7.0
244176,0961684399,7.0
53902,0345322185,7.0
244196,0961822716,7.0
77968,0380780402,7.0
180421,0740704680,7.0
180431,0740705032,7.0
84646,0393311694,7.0
84650,0393312089,7.0
321000,8471662531,7.0
321006,8471663775,7.0
321018,8471666391,7.0
265017,1578600804,7.0
163763,0679020489,7.0
163764,0679020691,7.0
244152,0961587512,7.0
244156,0961596147,7.0
244172,0961660562,7.0
244174,096166701x,7.0
180438,0740705547,7.0
265057,1578660343,7.0
265059,1578660602,7.0
265067,1578661048,7.0
84662,0393312526,7.0
163748,0679017224,7.0
265102,1579120989,7.0
265117,1579122167,7.0
163716,0679004378,7.0
84690,0393313468,7.0
334357,9100566837,7.0
53951,0345324315,7.0
244140,096154520B,7.0
244142,0961551445,7.0
334364,9100572799,7.0
334369,9100575704,7.0
4389,0028632311,7.0
265170,1579541046,7.0
265136,1579181473,7.0
320943,8470805681,7.0
320955,8471122081,7.0
320956,8471122197,7.0
320957,8471123118,7.0
320963,8471124467,7.0
320967,8471124742,7.0
180466,0740710311,7.0
180467,0740710427,7.0
180482,0740712152,7.0
77926,0380778637,7.0
324645,8489784752,7.0
324652,8489847487,7.0
324654,8489854688,7.0
163698,067900240,7.0
84695,0393313646,7.0
84701,0393313794,7.0
320979,8471483165,7.0
43770,0312866399,7.0
265162,1579540538,7.0
43761,0312866240,7.0
244128,0961515007,7.0
244094,0961414014,7.0
53966,0345324528,7.0
244117,0961477407,7.0
324638,8489715510,7.0
320924,8470395289,7.0
320930,8470398679,7.0
163633,0676974007,7.0
163635,0676974031,7.0
84728,0393314928,7.0
77919,0380778467,7.0
53971,0345324641,7.0
53972,034532465X,7.0
53973,0345324668,7.0
244090,0961408855,7.0
11969,0061061751,7.0
320938,8470801015,7.0
265249,1579548261,7.0
336376,966802623,7.0
163604,0676973469,7.0
265278,1579620302,7.0
43711,0312865023,7.0
43714,0312865074,7.0
163577,0676972950,7.0
265300,1579651895,7.0
84779,0393316793,7.0
163555,0676972403,7.0
163564,0676972616,7.0
43716,0312865104,7.0
180515,0740718584,7.0
180521,0740718819,7.0
180526,0740719769,7.0
180529,0740720600,7.0
265363,1579902995,7.0
265376,1580050247,7.0
265378,1580050301,7.0
84817,0393318249,7.0
163498,0676971024,7.0
43658,0312863608,7.0
265392,1580050557,7.0
265396,1580050603,7.0
11972,0061061808,7.0
180546,0740722271,7.0
180557,0740723553,7.0
324660,8489862257,7.0
324671,8489954135,7.0
324673,8489969280,7.0
243981,0960695419,7.0
243944,0960414606,7.0
43619,0312862660,7.0
320900,8470308041,7.0
320904,8470315889,7.0
320905,8470350331,7.0
320910,8470390368,7.0
54023,0345326237,7.0
243963,0960575073,7.0
243964,0960603034,7.0
243975,0960684611,7.0
180582,0740727281,7.0
334320,9100100315,7.0
334322,9100100404,7.0
334331,9100103470,7.0
163432,067521162X,7.0
163434,067521310X,7.0
163436,0675214076,7.0
163438,06761039970,7.0
163442,0676510787,7.0
265435,1580081401,7.0
84839,039331894X,7.0
265470,1580085318,7.0
163418,0675098327,7.0
243923,0960255214,7.0
243939,096039463X,7.0
4416,0028636279,7.0
180600,0740733087,7.0
265492,1580171281,7.0
320864,8470021672,7.0
320866,8470021818,7.0
320867,8470021885,7.0
320868,8470022512,7.0
163395,0674951298,7.0
9675,0060929227,7.0
9681,0060929367,7.0
324692,849204683X,7.0
243873,0959028501,7.0
243883,0959226303,7.0
243886,095936580X,7.0
243833,0958340587,7.0
163394,0674951212,7.0
84857,0393319636,7.0
11999,0061062413,7.0
320897,8470210386,7.0
265476,1580170358,7.0
265481,1580170676,7.0
43565,0312860900,7.0
265542,1580400035,7.0
265548,1580400469,7.0
265558,1580480381,7.0
84879,0393320359,7.0
84882,0393320480,7.0
163364,0674749316,7.0
163371,0674795156,7.0
163373,0674805518,7.0
243848,09586657319,7.0
243864,0958820805,7.0
243869,095889731X,7.0
324678,8489979235,7.0
180612,0740734954,7.0
84869,0393320030,7.0
43547,0312860277,7.0
43554,0312860455,7.0
12011,0061062871,7.0
265586,1580621376,7.0
43524,0312859295,7.0
163338,0674591534,7.0
84883,0393320510,7.0
336383,967610499X,7.0
336393,9676111619,7.0
163319,0674471849,7.0
43534,0312859740,7.0
265600,1580623026,7.0
265604,1580623158,7.0
243809,0957780036,7.0
243817,0957881436,7.0
265630,1580625665,7.0
43496,0312858353,7.0
84903,0393321282,7.0
84909,0393321509,7.0
265676,1580630561,7.0
43482,0312858035,7.0
265714,1580762557,7.0
265716,1580800467,7.0
54106,0345329589,7.0
180640,0741401576,7.0
180641,0741401770,7.0
3115,0007643934,7.0
163295,0674367693,7.0
84930,039332219X,7.0
265790,1581342489,7.0
320829,8467205067,7.0
320830,8467205318,7.0
320846,8467408596,7.0
320849,8469991035,7.0
336400,967611300X,7.0
265762,1581170246,7.0
180652,0741405156,7.0
54140,0345330773,7.0
54141,0345330838,7.0
243740,0953994244,7.0
265815,1581602693,7.0
265822,1581690029,7.0
43418,0312855834,7.0
265841,1581802072,7.0
163276,0674196376,7.0
163238,0674009363,7.0
163258,0674069412,7.0
265849,1581820135,7.0
265879,1581950357,7.0
